date,우산,우비,크록스,써큘레이터,에어컨,선풍기,닭가슴살,방향제,텀블러,보조배터리,사과,탄산수,텐트,자전거,무선청소기,에어프라이어,모기퇴치제,캡슐세제,매트리스,전신거울,칫솔,청바지,우산꽃이,신발건조기,우산비닐,물받이,옷걸이,장갑,모기장,원피스,담요,라면,스마트폰,핸드폰케이스,그립톡,요가매트,샴푸,덤벨
2023-04-03,14.43305,18.52566,63.25729,18.57447,45.64992,25.04584,99.60163,56.79588,88.67861,56.46849,89.91663,89.95257,84.84027,76.55535,47.99882,68.21036,41.40401,55.53942,75.80935,62.01688,74.82736,81.45841,67.75147,70.44261,13.46153,50,55.75321,84.96453,43.25172,71.68196,66.34831,72.94776,75.17875,70.40271,34.42309,83.87476,72.11012,79.22535
2023-04-04,35.46684,36.66567,63.8136,15.99918,38.88658,20.69209,90.58977,58.57076,79.18326,47.39765,75.35685,85.2697,72.60406,60.24637,44.20148,51.88043,33.23782,46.44412,71.56025,57.10795,63.37099,83.9092,66.8639,71.71792,23.07692,61.2,52.23315,89.3617,36.49299,74.03006,56.74157,86.06965,70.58222,73.08749,36.40187,77.9661,52.99247,78.34507
2023-04-05,100,96.8407,60.77425,13.4239,32.07664,13.64803,79.55693,55.11443,62.10712,45.63901,63.68619,76.76348,66.87318,37.88641,45.34361,50.05675,25.50143,45.76681,56.56474,49.44469,56.4344,76.09481,100,100,100,100,49.37547,85.8156,21.09227,71.65944,51.91011,92.75497,67.51787,75.20621,37.25265,65.8192,54.24076,87.79342
2023-04-06,46.13237,39.52832,49.79043,10.6864,28.33247,9.07685,67.96541,53.52638,56.6069,47.8818,62.97818,67.54593,62.71055,38.6302,42.72745,49.7692,23.4957,44.89598,53.30485,45.97956,49.37225,71.35395,42.8994,64.89122,31.15384,71.6,47.71006,86.38297,20.0251,66.17489,51.51685,85.47885,75.68947,68.88241,36.41143,64.50094,48.35841,90.25821
2023-04-07,18.37044,17.38356,42.71217,9.3582,25.36509,7.88494,49.95141,46.70714,49.56839,43.1043,47.07091,65.29342,54.38528,44.57271,39.15462,44.48732,18.48137,39.38074,46.98741,46.97912,43.00062,62.47488,21.89349,39.38484,13.07692,50.8,38.07721,72.34042,16.63527,63.51145,51.91011,73.22761,62.71705,62.84974,33.26641,47.48116,38.61149,79.22535
2023-04-08,11.19941,14.77306,43.78159,7.3507,24.25168,6.46513,39.60357,43.53106,49.28065,43.61694,47.01381,67.04208,71.17134,56.0471,38.10035,45.2743,15.61604,32.41412,50.86555,45.31319,37.44507,68.40096,13.90532,29.25731,5.76923,34,45.64723,60.42553,13.85227,64.66017,46.34831,64.52114,53.11542,73.33009,37.41516,43.29096,39.99658,67.60563
2023-04-09,11.75756,16.44912,50.02921,7.84751,26.50958,7.29292,56.63136,50.07006,54.05046,47.79636,56.41201,80.7943,94.28848,69.75284,42.6884,51.65342,14.89971,44.8476,61.94919,57.1968,50.78468,78.24427,12.42603,36.53413,7.11538,32.8,60.90083,60.14184,18.83239,72.68427,52.69662,78.07835,56.48621,76.9691,40.80871,56.35593,49.7435,80.10563
2023-04-10,15.57968,28.03322,49.779,9.52042,30.34697,8.75726,83.69121,56.42223,61.42098,51.43467,67.38609,86.51452,80.15488,58.35593,46.66146,52.61445,25.35816,52.20125,60.16187,59.66237,56.05775,71.29369,15.08875,33.00825,10.96153,57.19999,54.18243,81.84397,24.9843,66.52964,60,81.93407,73.54443,70.16011,43.31325,67.27871,61.20041,87.03051
2023-04-11,35.51537,43.93355,45.3019,10.76751,27.28638,8.20191,84.44908,59.41148,62.50553,51.24243,70.3323,76.20035,67.64762,45.05307,45.23623,53.3863,22.49283,75.71359,57.07059,61.26166,56.08913,67.35636,31.95266,40.88522,27.6923,63.2,49.79182,83.12056,25.94685,67.77408,55.89887,79.16666,77.32379,72.45673,42.52939,64.75988,62.2264,91.84272
2023-04-12,13.42595,19.77158,44.42553,11.73071,27.89228,8.36171,83.12767,53.6198,64.45329,48.72196,54.2309,79.7866,62.55566,46.1455,43.60601,50.7832,25.07163,48.71794,56.53102,56.64149,50.4708,69.76697,20.71005,33.68342,10,64.8,46.99091,82.69503,23.60326,64.15338,51.96629,80.75248,75.79162,72.10092,40.21604,66.29001,54.41176,91.72535
