date,우산,우비,크록스,써큘레이터,에어컨,선풍기,닭가슴살,방향제,텀블러,보조배터리,사과,탄산수,텐트,자전거,무선청소기,에어프라이어,모기퇴치제,캡슐세제,매트리스,전신거울,칫솔,청바지,우산꽃이,신발건조기,우산비닐,물받이,옷걸이,장갑,모기장,원피스,담요,라면,스마트폰,핸드폰케이스,그립톡,요가매트,샴푸,덤벨
2022-06-23,96.46267,87.36539,80.77492,57.07979,49.29276,73.89843,59.80034,41.89631,73.0301,36.74617,31.0258,69.81092,51.63652,53.09521,46.31003,50,66.38965,48.86308,59.29631,61.19502,28.7959,42.728,80.47337,51.25178,100,54.71204,42.24626,2.60046,75.86164,78.7507,29.31798,47.35671,23.74956,66.64597,28.84045,80.29432,46.101,70.4918
2022-06-24,51.8348,38.78153,63.38367,42.23923,33.5929,44.26044,51.04839,42.5035,63.78928,36.29761,26.49701,59.68487,48.80849,55.81467,43.80124,47.80415,68.69806,42.2835,56.16007,59.28476,24.77048,44.55604,37.57396,44.38483,35.34338,58.37696,36.83668,2.28644,57.51698,69.20037,26.43046,40.30795,24.55403,66.07497,26.34547,72.9593,38.5802,65.92505
2022-06-25,28.22961,21.44859,68.12377,46.47067,42.31725,51.74497,40.67674,35.82438,53.09871,35.14417,20.88275,67.39495,54.766,63.66312,42.97149,45.35247,56.60203,39.96129,58.08228,57.97423,24.24081,48.21213,11.2426,21.88841,12.89782,34.29319,36.39017,1.62406,55.68869,77.27939,21.27546,35.77416,18.64288,71.79741,26.09693,59.87583,35.88043,62.21701
2022-06-26,35.38479,32.04749,83.92453,58.99591,54.14329,67.07657,54.54035,39.32741,86.65338,40.14951,23.58565,76.28151,66.50875,67.07987,67.41507,53.63843,65.09695,44.12191,78.40602,61.37272,32.53884,52.4106,25.14792,25.32188,18.25795,34.29319,49.69946,1.75163,70.42618,90.21636,20.88573,41.26603,18.74781,77.48262,29.14635,76.2934,45.59479,65.33957
2022-06-27,71.16645,45.83271,80.95429,65.94185,66.54787,82.25943,77.78535,50.63054,88.44621,42.49911,29.89001,81.21848,57.17772,55.07089,54.16829,53.92268,90.39704,48.04063,76.58498,66.61483,33.63347,45.19887,51.77514,37.83977,53.60134,48.16753,46.57393,2.6348,85.97899,80.89557,24.65899,46.00513,29.76565,70.97815,28.64926,94.89537,51.15101,77.16627
2022-06-28,60.04831,38.97329,69.80583,62.42896,52.61224,72.66872,71.04598,51.0042,71.51394,40.94695,28.25102,69.05462,59.76169,54.3271,49.13119,55.05969,78.57802,62.50604,70.30125,67.41448,33.65112,45.33949,33.13609,32.90414,39.02847,43.19371,46.45371,2.54158,74.68807,78.619,24.88928,46.99743,30.46519,71.01539,29.00296,89.9747,47.67988,76.97111
2022-06-29,76.30277,49.69759,73.76197,58.14586,47.26896,63.66763,68.76879,47.40775,67.1868,39.47312,27.4459,68.06722,50.6747,47.54784,48.86762,55.27288,63.71191,64.87663,67.99685,67.50333,31.69138,43.57171,45.26627,42.77539,48.74371,43.97905,47.20934,2.66915,58.96232,82.14487,23.57838,44.31137,31.86428,71.80983,27.76025,87.79029,47.13751,82.51366
2022-06-30,100,100,100,46.87925,38.89658,49.0704,63.10387,44.18496,64.07702,38.54752,26.89957,61.15546,45.27706,45.16928,43.95743,47.72598,61.49584,62.31253,61.34217,60.39537,30.87923,39.29288,63.60946,100,94.30485,77.48691,40.75218,2.34532,51.71093,76.91439,24.74756,50.40205,25.42847,66.80734,30.14052,81.69694,45.84789,75.99531
2022-07-01,43.06338,27.50405,70.93974,50.59878,48.10928,50.97208,57.23048,39.74778,60.35856,37.05233,22.8596,69.64285,42.66436,45.94406,39.94533,44.03069,60.20313,62.02225,53.78821,58.41848,28.125,38.46926,26.33136,43.4907,28.1407,46.33507,36.54473,2.29625,55.78752,75.66509,19.5217,41.1976,21.02133,62.26415,29.8155,76.06346,42.12365,70.25761
2022-07-02,28.2066,17.87874,83.38267,59.29178,67.2496,69.19736,64.17832,34.0028,60.4803,39.5728,21.26374,70.48319,52.5122,56.65917,43.85982,44.83371,56.87903,54.57184,58.47571,59.1737,27.29519,46.82603,12.42603,23.31902,11.05527,38.21989,40.11677,1.74672,54.05806,89.58419,18.0868,36.11633,20.77649,69.92303,32.78845,93.65371,36.59153,76.89305
2022-07-03,31.88197,17.9525,91.71015,77.87066,85.12065,85.35497,68.60441,37.55254,71.85701,41.00391,24.26137,87.10084,67.28395,59.4561,51.39593,53.70238,63.89658,59.84518,68.75,66.99244,33.68644,48.91522,19.82248,22.103,14.23785,25.65445,53.64932,1.88901,57.05991,100,19.98228,43.69546,21.79083,79.23286,38.18946,90.89445,42.18392,83.99687
2022-07-04,31.88772,17.75335,74.04545,100,100,100,100,46.52031,75.2988,45.78141,28.35885,91.28151,60.65173,57.34097,53.31901,50.95935,71.09879,77.50362,73.10026,61.50599,37.3411,45.72117,26.0355,23.31902,23.95309,48.69109,51.76026,2.62008,60.40765,88.64722,20.67316,42.41231,24.69394,69.58788,37.97916,100,52.59732,86.33879
2022-07-05,33.17036,16.45522,66.813,78.28863,90.63111,76.70978,95.11686,46.38019,78.74059,44.12246,28.53856,82.0168,53.8329,57.34872,53.05544,52.92779,66.20498,65.07014,66.60296,61.48378,33.86299,47.2278,24.26035,22.85407,19.76549,40.31413,51.05615,2.47289,55.3428,91.35653,21.00974,39.36698,24.55403,73.16285,32.59726,95.65417,55.39351,90.47619
2022-07-06,35.29851,17.74598,66.12187,91.27882,86.01817,70.05391,88.01266,43.39093,76.47189,41.80847,26.28854,74.89495,52.42606,55.53575,49.9219,57.53979,62.51154,68.69859,81.41861,62.03909,27.03036,44.05383,14.49704,22.96137,17.58793,43.19371,43.29383,2.40419,36.40518,91.95108,20.63773,38.66552,26.51276,73.51042,32.99875,90.45757,54.53778,91.72521
2022-07-07,33.89508,18.19589,63.24068,69.18236,77.83497,60.32243,82.4159,38.76693,72.24435,39.45888,21.75975,77.41596,49.10996,52.14999,49.49238,56.7652,56.97137,68.02128,70.3687,60.37316,25.72387,40.23704,22.78106,21.63805,21.77554,43.71727,41.78258,2.40419,42.68066,89.52775,20.54915,42.70316,24.55403,71.20158,31.25896,83.44446,51.11486,88.60265
2022-07-08,29.89761,14.27201,57.78059,50.73028,58.1337,45.3547,63.28027,40.44838,61.39884,37.42257,17.22377,65,47.08584,46.70333,42.11245,44.13729,51.98522,60.57087,57.76753,60.01776,27.13629,39.53394,22.18934,17.88268,16.75041,36.38743,43.80903,2.29134,34.94749,79.3189,18.61824,39.33276,24.86883,63.9275,28.20954,71.51069,40.4363,80.3669
2022-07-09,16.0819,9.05738,66.38904,50.50955,44.46204,43.3096,52.83646,32.64829,57.33731,37.16625,14.77967,63.69747,50.6747,54.3581,41.27294,45.06111,45.70637,55.34591,61.09487,65.6597,26.25353,45.01807,17.15976,12.66094,7.37018,25.13089,45.35462,1.71728,34.51513,83.98871,17.44906,36.50983,20.04197,71.12711,29.19414,67.32582,35.57912,77.59562
2022-07-10,18.83699,12.18468,83.17068,56.2814,47.96849,43.45834,58.75796,34.84353,66.45639,41.58063,19.07842,79.66386,70.90152,60.48655,57.51659,55.59977,52.26223,64.68311,76.38264,70.07996,35.69915,48.9554,15.97633,11.62374,6.19765,23.03664,59.35085,1.75653,41.16121,95.60865,17.0062,45.90248,21.26617,78.56256,33.04655,80.91515,45.43811,83.13817
2022-07-11,35.67813,19.87756,90.30279,54.19151,40.8126,37.4824,84.79332,42.31667,70.72819,45.91669,23.21184,76.2605,70.34165,58.68908,51.22998,54.02927,66.29732,66.08611,72.68435,67.992,38.94774,42.06508,29.88165,18.88412,22.61306,37.17277,53.61497,2.60046,45.76899,78.98777,20.85031,44.49957,25.42847,71.54915,32.17665,91.23936,49.37929,90.78844
2022-07-12,20.27493,16.22658,73.407,47.25027,33.04956,31.53701,82.5041,42.69033,73.4949,45.55357,24.14635,72.33193,62.2739,58.48764,50.77118,52.46588,62.78855,60.61925,68.26663,70.8796,39.44209,41.96464,19.82248,16.09442,15.74539,34.81675,49.99141,2.35022,41.51945,82.20507,22.56864,45.57741,27.49213,72.84011,33.48628,82.9386,46.5831,94.06713
